name,url,grade,city,country,address,locality,region,postal,lat,lon,place_id
ABaC,https://guide.michelin.com/en/catalunya/barcelona/restaurant/abac,3_star,Barcelona,Spain,Avenida del Tibidabo 1 Barcelona Catalonia 08022 ESP,Barcelona,Catalonia,08022,41.4106347,2.1363587,ChIJjZxWjQ-YpBIR_xbBOD9lZ1k
Alléno Paris au Pavillon Ledoyen,https://guide.michelin.com/en/ile-de-france/paris/restaurant/alleno-paris-au-pavillon-ledoyen,3_star,Paris,France,8 avenue Dutuit Paris Ile-de-France 75008 FRA,Paris,Ile-de-France,75008,48.8662387,2.3164818,ChIJNb0Vrftv5kcRMegtKrTeefg
Amador,https://guide.michelin.com/en/vienna/wien/restaurant/amador,3_star,Vienna,Austria,Grinzinger Straße 86 Vienna Vienna 1190 AUT,Vienna,Vienna,1190,48.2539302,16.3586121,ChIJUV5dfRgGbUcRXHN5xPvHT-U
Cocina Hermanos Torres,https://guide.michelin.com/en/catalunya/barcelona/restaurant/cocina-hermanos-torres,3_star,Barcelona,Spain,Taquígraf Serra 20 Barcelona Catalonia 08029 ESP,Barcelona,Catalonia,08029,41.3864925,2.1401248,ChIJrcC3iq2ZpBIRyVqXiw2N8XU
Disfrutar,https://guide.michelin.com/en/catalunya/barcelona/restaurant/disfrutar,3_star,Barcelona,Spain,Villarroel 163 Barcelona Catalonia 08036 ESP,Barcelona,Catalonia,08036,41.3878056,2.1531881,ChIJTSzGu4WipBIRkznre9Zwis0
DiverXO,https://guide.michelin.com/en/comunidad-de-madrid/madrid/restaurant/diverxo,3_star,Madrid,Spain,Padre Damián 23 Madrid Community of Madrid 28036 ESP,Madrid,Community of Madrid,28036,40.4578992,-3.6857765,ChIJfUIagAMpQg0RRYLx9K82nJc
Enoteca Pinchiorri,https://guide.michelin.com/en/toscana/firenze/restaurant/enoteca-pinchiorri,3_star,Florence,Italy,via Ghibellina 87 Florence Tuscany 50122 ITA,Florence,Tuscany,50122,43.77,11.2622222,ChIJJ9GCOAZUKhMRhWUgMfpfvX4
HAJIME,https://guide.michelin.com/en/osaka-region/osaka/restaurant/hajime,3_star,Osaka,Japan,"1-9-11 Edobori, Nishi-ku Osaka Osaka 550-0002 JPN",Osaka,Osaka,550-0002,34.6887132,135.4960574,ChIJDQRP2frmAGARBw_HFaCnauI
Harutaka,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/harutaka,3_star,Tokyo,Japan,"6F, 8-3-1 Ginza, Chuo-ku Tokyo Tokyo 104-0061 JPN",Tokyo,Tokyo,104-0061,35.6692281,139.7592488,ChIJ04DI3-iLGGARdv1aRxgdFO0
Hélène Darroze at The Connaught,https://guide.michelin.com/en/greater-london/london/restaurant/helene-darroze-at-the-connaught,3_star,London,United Kingdom,"Carlos Place, Mayfair London Greater London W1K 2AL GBR",London,Greater London,W1K 2AL,51.5101843,-0.1497608,ChIJNdaqLSwFdkgRcp3iqGlL6Ek
JAN,https://guide.michelin.com/en/bayern/mnchen/restaurant/jan-1204321,3_star,Munich,Germany,Luisenstraße 27 Munich Bavaria 80333 DEU,Munich,Bavaria,80333,48.1447926,11.5629595,ChIJrW8egwN1nkcRcSAVCJYQpZY
Joël Robuchon,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/joel-robuchon-1193981,3_star,Tokyo,Japan,"Yebisu Garden Place, 1-13-1 Mita, Meguro-ku Tokyo Tokyo 153-0062 JPN",Tokyo,Tokyo,153-0062,35.6419322,139.7145827,ChIJGQRJhBaLGGAR5ZTJp9mQgtQ
Kagurazaka Ishikawa,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kagurazaka-ishikawa,3_star,Tokyo,Japan,"5-37 Kagurazaka, Shinjuku-ku Tokyo Tokyo 162-0825 JPN",Tokyo,Tokyo,162-0825,35.7012024,139.7394666,ChIJa0WEW1qMGGARPztXG-uvYjI
Kanda,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/kanda,3_star,Tokyo,Japan,"1F, Toranomon Hills Residential Tower, 1-1-1 Atago, Minato-ku Tokyo Tokyo 105-0002 JPN",Tokyo,Tokyo,105-0002,35.6658899,139.7481676,ChIJP-dHJnSLGGAR6lRM5169Uj0
Kei,https://guide.michelin.com/en/ile-de-france/paris/restaurant/kei,3_star,Paris,France,5 rue Coq-Héron Paris Ile-de-France 75001 FRA,Paris,Ile-de-France,75001,48.864358,2.3420827,ChIJqTnaAiNu5kcRQsRFgf8qeoA
Lasarte,https://guide.michelin.com/en/catalunya/barcelona/restaurant/lasarte,3_star,Barcelona,Spain,Mallorca 259 Barcelona Catalonia 08008 ESP,Barcelona,Catalonia,08008,41.3936111,2.1619444,ChIJ06Abq5OipBIRAAbiw3cStt8
Le Cinq,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-cinq6102,3_star,Paris,France,"Four Seasons Hotel George V, 31 avenue George-V Paris Ile-de-France 75008 FRA",Paris,Ile-de-France,75008,48.868849,2.300683,ChIJqTQzIehv5kcRaF3hD1SzX5A
Le Gabriel - La Réserve Paris,https://guide.michelin.com/en/ile-de-france/paris/restaurant/le-gabriel476630,3_star,Paris,France,"La Réserve Paris, 42 avenue Gabriel Paris Ile-de-France 75008 FRA",Paris,Ile-de-France,75008,48.8697972,2.3133111,ChIJA1PHDM9v5kcRsdD0Snjw06k
Mingles,https://guide.michelin.com/en/seoul-capital-area/kr-seoul/restaurant/mingles,3_star,Seoul,South Korea,"2F, 19 Dosan-daero 67-gil, Gangnam-gu Seoul Seoul Capital Area 06016 KOR",Seoul,Seoul Capital Area,06016,37.5253386,127.0441452,ChIJjXuM24mjfDURSwmouRnxNlM
Myojaku,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/myojaku,3_star,Tokyo,Japan,"B1F, 3-2-34 Nishiazabu, Minato-ku Tokyo Tokyo 106-0031 JPN",Tokyo,Tokyo,106-0031,35.6594287,139.7266965,ChIJxxsn3a-LGGARYqb5FTmUL98
Plénitude - Cheval Blanc Paris,https://guide.michelin.com/en/ile-de-france/paris/restaurant/plenitude-cheval-blanc-paris,3_star,Paris,France,"Cheval Blanc Paris, 8 quai du Louvre Paris Ile-de-France 75001 FRA",Paris,Ile-de-France,75001,48.8588971,2.3420459,ChIJE6y1dkBv5kcRhZB0rsUidCQ
RyuGin,https://guide.michelin.com/en/tokyo-region/tokyo/restaurant/ryugin-1194232,3_star,Tokyo,Japan,"7F, Tokyo Midtown Hibiya, 1-1-2 Yurakucho, Chiyoda-ku Tokyo Tokyo 100-0006 JPN",Tokyo,Tokyo,100-0006,35.6742704,139.7592781,ChIJaZF5wHmLGGARycW1JhshDjY
"Sketch, The Lecture Room and Library",https://guide.michelin.com/en/greater-london/london/restaurant/sketch-the-lecture-room-library,3_star,London,United Kingdom,"9 Conduit Street, Mayfair London Greater London W1S 2XG GBR",London,Greater London,W1S 2XG,51.5127667,-0.1415637,ChIJk4chQY4FdkgRDxmXasfbHlc
Sorn,https://guide.michelin.com/en/bangkok-region/bangkok/restaurant/sorn,3_star,Bangkok,Thailand,"56 Soi Sukhumvit 26, Khlong Tan, Khlong Toei Bangkok Bangkok Region 10110 THA",Bangkok,Bangkok Region,10110,13.7231004,100.5685251,ChIJWfYJ3QWf4jAR9erXv7kK7sA
Steirereck im Stadtpark,https://guide.michelin.com/en/vienna/wien/restaurant/steirereck-im-stadtpark,3_star,Vienna,Austria,Am Heumarkt 2a Vienna Vienna 1030 AUT,Vienna,Vienna,1030,48.2044578,16.3813958,ChIJKS_u4XYHbUcRFEBBkdJ8HG0
Taian,https://guide.michelin.com/en/osaka-region/osaka/restaurant/taian,3_star,Osaka,Japan,"1-21-2 Shimanochi, Chuo-ku Osaka Osaka 542-0082 JPN",Osaka,Osaka,542-0082,34.6733549,135.5072151,ChIJq48uCT7nAGARla-2QjFW32U
