country	city	reason	city_score	country_score
스페인	바르셀로나	LOW_SCORE	0.00	0.00
체코	프라하	LOW_SCORE	0.00	0.00
영국	런던	LOW_SCORE	0.00	0.00
독일	베를린	LOW_SCORE	0.00	0.00
스페인	마드리드	LOW_SCORE	0.00	0.00
이탈리아	피렌체	LOW_SCORE	0.00	0.00
독일	뮌헨	LOW_SCORE	0.00	0.00
일본	오사카	LOW_SCORE	0.00	0.00
베트남	호치민	LOW_SCORE	0.00	0.00
네덜란드	암스테르담	LOW_SCORE	0.00	0.00
대한민국	서울	LOW_SCORE	0.00	0.00
호주	시드니	LOW_SCORE	0.00	0.00
오스트리아	빈	LOW_SCORE	0.00	0.00
호주	멜버른	LOW_SCORE	0.00	0.00
프랑스	파리	LOW_SCORE	0.00	0.00
태국	방콕	LOW_SCORE	0.00	0.00
일본	도쿄	LOW_SCORE	0.00	0.00
이탈리아	로마	LOW_SCORE	0.00	0.00
대한민국	제주도	LOW_SCORE	0.00	0.00
이탈리아	베네치아	LOW_SCORE	0.00	0.00
대한민국	부산	LOW_SCORE	0.00	0.00
베트남	다낭	LOW_SCORE	0.00	0.00
호주	퍼스	LOW_SCORE	0.00	0.00
대한민국	제주	LOW_SCORE	0.00	0.00
스위스	인터라켄	LOW_SCORE	0.00	0.00
