country,city,feature,google_name,google_lat,google_lon,place_id,place_url,google_rating,google_review_count
스페인,바르셀로나,명소,Basílica de la Sagrada Família,41.4036299,2.1743558,ChIJk_s92NyipBIRUMnDG8Kq2Js,https://maps.google.com/?cid=11229913421514525008&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.8,312779
체코,프라하,명소,Charles Bridge,50.0864771,14.4114366,ChIJn7WO5eWUC0cRJrHT0TiXIHU,https://maps.google.com/?cid=8439911971986583846&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.8,188730
영국,런던,역사,Buckingham Palace,51.501364,-0.14189,ChIJtV5bzSAFdkgRpwLZFPWrJgo,https://maps.google.com/?cid=731461058599387815&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,188295
독일,베를린,역사,Brandenburg Gate,52.5162746,13.377704,ChIJiQnyVcZRqEcRY0xnhE77uyY,https://maps.google.com/?cid=2791100708733537379&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.7,181887
스페인,마드리드,명소,Bernabéu,40.4530196,-3.6883748,ChIJn9MFN-IoQg0RiBkrbtL2_6g,https://maps.google.com/?cid=12177723301084993928&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,163277
이탈리아,피렌체,광장,Piazzale Michelangelo,43.7629314,11.2650561,ChIJQzhmQ_dTKhMRGVENguFo97Q,https://maps.google.com/?cid=13040006563833401625&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.8,107199
독일,뮌헨,맛집,Hofbräuhaus München,48.1376373,11.5797494,ChIJxfxSz4t1nkcRLxq9ze1wwak,https://maps.google.com/?cid=12232182229576260143&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.3,104050
영국,런던,명소,Big Ben,51.5007292,-0.1246254,ChIJ2dGMjMMEdkgRqVqkuXQkj7c,https://maps.google.com/?cid=13226830714359798441&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,93444
일본,오사카,역사,Osaka Castle,34.6872571,135.5258546,ChIJ_TooXM3gAGARQR6hXH3QAQ8,https://maps.google.com/?cid=1081374622389182017&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.4,90938
일본,오사카,명소,Dotonbori,34.6687234,135.5012971,ChIJ_fmKgRPnAGARkKWLtCYTu7g,https://maps.google.com/?cid=13311254180582368656&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.4,81022
스페인,바르셀로나,역사,Cathedral of Barcelona,41.383962,2.1761991,ChIJg2xxlvmipBIRg1jhdSQR9hY,https://maps.google.com/?cid=1654528761399433347&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.6,80537
베트남,호치민,광장,Ben Thanh Market,10.7725168,106.6980208,ChIJTeYpMT8vdTERMH8sUnkta40,https://maps.google.com/?cid=10190288580948819760&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4,78566
네덜란드,암스테르담,박물관/미술관,Anne Frank House,52.3752182,4.8839765,ChIJSRE-IcUJxkcRCltjPmVdmtQ,https://maps.google.com/?cid=15319659771873942282&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,73835
스페인,마드리드,카페,Chocolatería San Ginés,40.4169335,-3.7069517,ChIJHeRevn4oQg0R1cMSLDTWlWg,https://maps.google.com/?cid=7536165071040463829&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.3,68888
체코,프라하,명소,Prague Zoo,50.1177321,14.4062013,ChIJmwPb-dTqC0cRvbXrAjxU2ZY,https://maps.google.com/?cid=10869811792359175613&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.8,66451
대한민국,서울,명소,N Seoul Tower,37.5511694,126.9882266,ChIJqWqOqFeifDURpYJ5LnxX-Fw,https://maps.google.com/?cid=6699200636580889253&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,4.5,65952
